Name,Class ID,Type,Floors,Locations,Funhouse,Boss,HP Min,HP Max,MP Min,MP Max,Experience Min,Experience Max,Strength Min,Strength Max,Intelligence Min,Intelligence Max,Wisdom Min,Wisdom Max,Constitution Min,Constitution Max,Charisma Min,Charisma Max,Dexterity Min,Dexterity Max,Attack Min,Attack Max,Defense Min,Defense Max,Magic Min,Magic Max,Magic Defense Min,Magic Defense Max,Promotion Level,Spells,Skills,Equipment,Drops,Status Immunities,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance
Aboleth,Aboleth,Slime,5,,False,False,235,525,170,170,650,1230,25,25,50,50,50,50,25,25,12,12,10,10,32,32,40,40,65,65,300,300,5,Boost; Disease Breath; Enfeeble,Acid Spit,,,Poison,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.5,-0.5
Acolyte,Acolyte,Humanoid,2,,False,False,47,59,112,112,145,210,9,9,22,22,24,24,13,13,18,18,12,12,12,12,18,18,28,28,25,25,2,Heal; Holy,Counterspell,Weapon: Kukri; Armor: Wizard's Robe; OffHand: Tome of Knowledge,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alligator,Alligator,Animal,3,,False,False,80,95,28,28,220,300,26,26,8,8,7,7,20,20,10,10,15,15,26,26,27,27,16,16,23,23,3,,Trip,Weapon: Alligator Tail; OffHand: Claw,Mystery Meat,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ankheg,Ankheg,Monster,3,,False,False,64,88,82,82,240,330,23,23,17,17,14,14,19,19,6,6,14,14,27,27,32,32,21,21,23,23,3,,Acid Spit; Trip,Weapon: Claw; Armor: Carapace; OffHand: Pincers,,Poison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,1.0,0.1
Antlion,Antlion,Animal,3; 4,,False,False,70,88,78,78,210,310,22,22,8,8,12,12,18,18,12,12,18,18,26,26,32,32,18,18,22,22,3,,Double Strike; Surface; Tunnel,Weapon: Pincers; Armor: Carapace; OffHand: Pincers,Mystery Meat,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Archvile,Archvile,Fiend,5; 6,,False,False,398,498,231,231,1010,1280,32,32,31,31,35,35,38,38,28,28,32,32,72,72,53,53,52,52,58,58,5,Corruption; Firestorm; Regen; Sleep; Terrify,Parry,Weapon: Battle Gauntlet; Armor: Demon Armor; OffHand: Battle Gauntlet,,Death; Poison,1.0,0.5,0.5,0.0,0.0,0.0,0.25,-0.25,1.0,0.0
Balor,Balor,Fiend,,,False,False,2662,2662,694,694,0,0,58,58,44,44,48,48,62,62,54,54,36,36,148,148,140,140,132,132,128,128,7,Corruption; Hellfire; Regen; Terrify,Crush; Parry,Weapon: attacks; Armor: Devil Skin; OffHand: attacks,Item,Death; Poison; Stone,0.75,0.25,0.5,0.25,0.5,0.5,0.75,-0.5,1.0,0.5
Bandit,Bandit,Humanoid,0,,False,False,12,16,24,24,8,18,8,8,8,8,5,5,8,8,10,10,10,10,4,4,5,5,3,3,5,5,0,,Disarm; Smoke Screen; Steal,Weapon: Dirk; Armor: Padded Armor,Feather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandit,Bandit2,Humanoid,,,False,False,12,16,24,24,8,18,28,28,10,10,9,9,20,20,12,12,20,20,36,36,38,38,24,24,33,33,0,,Disarm; Smoke Screen; Steal,Weapon: Jian; Armor: Leather Armor,Feather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barghest,Barghest,Fiend,,Barghest Boss Room,False,True,153,153,135,135,500,500,22,22,15,15,14,14,18,18,14,14,12,12,34,34,30,30,21,21,32,32,2,Enfeeble,Backstab; Kidney Punch; Shapeshift,Weapon: Claw; Armor: Animal Hide; OffHand: Claw,Old Key,Death,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.25,0.0,0.25
