Name,Class ID,Type,Floors,Locations,Funhouse,Boss,HP Min,HP Max,MP Min,MP Max,Experience Min,Experience Max,Strength Min,Strength Max,Intelligence Min,Intelligence Max,Wisdom Min,Wisdom Max,Constitution Min,Constitution Max,Charisma Min,Charisma Max,Dexterity Min,Dexterity Max,Attack Min,Attack Max,Defense Min,Defense Max,Magic Min,Magic Max,Magic Defense Min,Magic Defense Max,Promotion Level,Spells,Skills,Equipment,Drops,Status Immunities,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance
Acolyte,Acolyte,Humanoid,2,,False,False,47,59,112,112,145,210,9,9,22,22,24,24,13,13,18,18,12,12,12,12,18,18,28,28,25,25,2,Heal; Holy,Counterspell,Weapon: Kukri; Armor: Wizard's Robe; OffHand: Tome of Knowledge,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battle Toad,BattleToad,Animal,1; 2,,False,False,25,29,29,29,30,48,10,10,9,9,10,10,10,10,8,8,15,15,11,11,10,10,12,12,9,9,1,,Jump; Kidney Punch,Weapon: Brass Knuckles; OffHand: Brass Knuckles,Mystery Meat,,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Direwolf,Direwolf,Animal,2,,False,False,30,34,15,15,60,100,17,17,7,7,6,6,14,14,10,10,16,16,17,17,16,16,9,9,8,8,2,,Howl; Trip,Weapon: Claw; Armor: Animal Hide; OffHand: Claw,Mystery Meat; Leather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Giant Owl,GiantOwl,Animal,2,,False,False,22,27,24,24,45,80,13,13,12,12,10,10,10,10,1,1,15,15,10,10,12,12,14,14,16,16,2,,Screech,Weapon: Claw; OffHand: Claw,Mystery Meat; Feather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giant Scorpion,GiantScorpion,Animal,2,,False,False,25,30,7,7,65,105,14,14,5,5,10,10,12,12,10,10,9,9,16,16,18,18,9,9,15,15,2,,Piercing Strike,Weapon: Claw; Armor: Carapace; OffHand: Claw,Mystery Meat; Scorpion Venom,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Giant Snake,GiantSnake,Animal,2,,False,False,32,40,7,7,60,100,15,15,5,5,6,6,14,14,10,10,16,16,16,16,15,15,8,8,11,11,2,,Slam,Weapon: Snake Fang; Armor: Snake Scales,Mystery Meat; Snake Skin; Snake Venom,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Gnoll,Gnoll,Humanoid,2,,False,False,24,32,30,30,45,85,13,13,10,10,5,5,8,8,12,12,16,16,13,13,12,12,12,12,13,13,2,,Disarm,Weapon: Partisan; Armor: Padded Armor,Feather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harpy,Harpy,Monster,2,,False,False,32,39,36,36,65,115,18,18,13,13,13,13,14,14,14,14,23,23,12,12,15,15,18,18,14,14,2,Berserk,Screech,Weapon: Claw; OffHand: Claw,Feather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naga,Naga,Monster,2,,False,False,37,43,30,30,67,118,15,15,13,13,15,15,15,15,12,12,17,17,17,17,16,16,13,13,16,16,2,Silence,Double Strike,Weapon: Partisan,,,0.0,0.0,-0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Orc,Orc,Humanoid,2,,False,False,27,38,20,20,45,80,12,12,6,6,5,5,10,10,8,8,14,14,14,14,13,13,10,10,10,10,2,,Piercing Strike,Weapon: Jian; Armor: Leather Armor,Leather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
