Name,Class ID,Book,Type,Subtype,School,Cost,Resource,Damage Modifier,Critical Chance,Target Scope,Passive,Combat Only,Rank,Class Sources,Enemy Sources,External Acquisition,Modifies,Description
Absorb Essence,AbsorbEssence,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Soulcatcher,,False,,"When a Soulcatcher kills an enemy, there is a chance that they may absorb part of the enemy's essence. Different monster types improve different stats, allowing the Soulcatcher to grow stronger with each victory."
Abyssal Authority,AbyssalAuthority,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,Demonologist,,False,Call Contract,Increase the strength of fiend-contract effects by 20%.
Abyssal Covenant,AbyssalCovenant,Skills,Skill,Power Up,,0,,1.0,,self,False,True,,,,True,,"Consume a large portion of HP; in exchange for several turns gain massive spell power, increased corruption, and all contract bonuses doubled."
Access Storage,AccessStorage,Skills,Skill,Support,,0,,1.0,,none,False,False,,Astromancer,,False,,Move one item between dungeon inventory and storage for MP equal to its weight.
Achilles Heel,AchillesHeel,Skills,Skill,Offensive,,7,Mana,1.0,,single_enemy,False,True,,Warrior,,False,,Launch a targeted main-hand attack that cripples the target's speed and makes it easier to knock prone.
Acid Spit,AcidSpit,Skills,Skill,Offensive,,0,,1.0,,single_enemy,False,True,,,Aboleth; Ankheg; Green Slime,False,,"Spit a corrosive substance on the target, dealing initial damage plus damage over time."
Adrenaline,Adrenaline,Skills,Skill,Enhance,,0,,1.0,,single_enemy,False,True,,Sentinel; Warrior,,False,,"When in dire need, trigger the body's reserves to restore up to 20% of maximum health while below 10% health."
Aegis Weave,AegisWeave,Skills,Skill,Class,,0,Blade Charges,1.0,,single_enemy,False,True,,Knight Enchanter,,False,,Consume all Blade Charges and the current pattern to create a temporary ward shaped by its Foundation and Accent.
Aftershock,Aftershock,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,Wizard,,False,,"Earth spells reverberate through the ground, repeatedly damaging one or more enemies."
Aggressive Pursuit,AggressivePursuit,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Footpad; Ranger; Warrior,,False,,Passive: Make an advantaged main-hand attack when an enemy attempts to flee; a survivor escapes.
Alacrity,Alacrity,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,Ninja; Shadowcaster,,False,,"While invisible, increase Speed by 25%."
All In,AllIn,Skills,Skill,Offensive,,10,Fortune + Misfortune,1.0,,single_enemy,False,True,,Rogue,,False,,"Spend all Fortune and Misfortune on one accurate, amplified strike."
Amplify Arcane,AmplifyArcane,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Spellblade,,False,,Arcane blade charges release at double power.
Amplify Elemental,AmplifyElemental,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Spellblade,,False,,Elemental blade charges release at double power.
Ancestral Aegis,AncestralAegis,Skills,Skill,Class,,6,Totem Resonance,1.0,,self,False,True,,Soulcatcher,,False,,Spend all Totem Resonance for a ward and restore 5% maximum health per stack.
Anvil Strike,AnvilStrike,Skills,Skill,Class,,10,Mana,1.0,,single_enemy,False,True,,Berserker; Grandmaster of Arms; Weapon Master,,False,,A hammer discipline art that crushes defense and can suppress guard at mastery.
Anvil Strike 2,AnvilStrike2,Skills,Skill,Class,,12,Mana,1.0,,single_enemy,False,True,,Berserker; Grandmaster of Arms; Weapon Master,,False,,A mastered hammer blow with greater impact against armor and balance.
Anvil Strike 3,AnvilStrike3,Skills,Skill,Class,,14,Mana,1.0,,single_enemy,False,True,,Grandmaster of Arms,,False,,A perfected hammer blow that crushes armor and balance.
Apply Toxin,ApplyToxin,Skills,Skill,Utility,,0,,1.0,,single_enemy,False,False,,Assassin,,False,,Apply an available toxin to an equipped dagger.
Arcane Ambush,ArcaneAmbush,Skills,Skill,Offensive,,10,Mana,1.0,,single_enemy,False,True,,Arcane Trickster,,False,,Strike for 130% weapon damage; committed Stolen Charge releases normally.
Arcane Blast,ArcaneBlast,Skills,Skill,PowerUp,,0,,1.0,,single_enemy,False,True,,,,True,,"Expend all remaining mana in a devastating blast of arcane energy. If the enemy survives, mana will regenerate over the next 4 turns."
Arcane Empowerment,ArcaneEmpowerment,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,Sorcerer,,False,Kinetic Explosion,"Gain 5% magic damage for every enemy hit by Kinetic Explosion, stacking up to five times for the current combat."
Arcane Riposte,ArcaneRiposte,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Knight Enchanter,,False,,Parry immediately releases a prepared Weave through its counterattack.
Arcane Ritual,ArcaneRitual,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,Sorcerer,,False,,"Further specialize in Arcane magic, lowering elemental spell potency by an additional 25%."
Arcane Tradition,ArcaneTradition,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,Mage,,False,,Specialize School Affinity in Arcane magic. Elemental spell damage operates at 75% potency and Enhancement proc chances are halved.
Arsenal Mastery,ArsenalMastery,Skills,Skill,Power Up,,30,Mana,1.0,,self,False,True,,,,True,,"For several turns, gain the passive bonuses of every weapon type you've mastered"
Aspirate,Aspirate,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,Sorcerer,,False,,"Water spells can drown their targets, dealing damage over time and preventing them from acting."
Astral Judgment,AstralJudgment,Skills,Skill,Power Up,,20,Mana,1.0,,single_enemy,False,True,,,,True,,"Call judgment from the active constellation, bending fate through one natural sign before the stars wheel onward."
Avoid Traps,AvoidTraps,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Assassin; Footpad,,False,,Passive: Gain an increased chance to avoid a triggered trap's negative effect; halve it otherwise.
Backstab,Backstab,Skills,Skill,Stealth,,6,Mana,2.0,,single_enemy,False,True,,Footpad,Barghest; Drow Assassin; False-Ledger Broker; Guild Cutpurse; Invisible Stalker; Panther; Silent Contract Knife; Spell-Sealed Cutpurse,False,,"Death Mark Setup: strike a stunned opponent in the back, ignoring any defense or armor and dealing devastating damage."
Bad Breath,BadBreath,Skills,Skill,Enemy,,32,Mana,1.0,,single_enemy,False,True,,,Basilisk,False,,Exhale a foul cloud of debilitating statuses.
Bastion Prayer,BastionPrayer,Skills,Skill,Defensive,,5,Mana,1.0,,self,False,True,,Cleric; Hierophant; Templar,,False,,Spend one Devotion to raise Defense and Magic Defense for three turns.
Battle Cry,BattleCry,Skills,Skill,Offensive,,16,Mana,1.0,,self,False,True,,Lycan; Stalwart Defender; Warrior,,False,,"Let out a battle cry, boosting your attack."
Battle Determination,BattleDetermination,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Stalwart Defender,,False,,Battle Cry immediately generates 20 Resolve.
Beginner's Luck,BeginnersLuck,Skills,Skill,Luck,,5,Mana,1.0,,single_enemy,False,True,,Healer,,False,,Increase the Charisma bonus on luck rolls for the rest of combat.
Beyond Reproach,BeyondReproach,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Crusader,,False,,"Passive: Condemnation can mark undead and fiends, causing a successful Repel the Wicked to disintegrate them."
