Name,Class ID,Book,Type,Subtype,School,Cost,Resource,Damage Modifier,Critical Chance,Target Scope,Passive,Combat Only,Rank,Class Sources,Enemy Sources,External Acquisition,Modifies,Description
Absolute Zero,AbsoluteZero,Spells,Spell,Ice,,40,Mana,3.0,5,single_enemy,False,True,,,,False,,"Channels the essence of absolute cold, freezing the target solid and shattering their defenses."
Aqualung,Aqualung,Spells,Spell,Water,Elemental,13,Mana,1.5,3,single_enemy,False,True,1,Knight Enchanter; Sorcerer,,True,,"Giant water bubbles surround the enemy and burst, causing great water damage."
Astral Shift,AstralShift,Spells,Spell,Illusion,,18,Mana,1.0,,self,False,True,,Shaman,,False,,"Partially shift into the astral plane, reducing physical and magical damage by 25%."
Ball Lightning,BallLightning,Spells,Spell,Electric,Nature,34,Mana,1.0,,single_enemy,False,True,,Archdruid,,False,,Conjure a ball of electricity that repeatedly zaps the target.
Banish,Banish,Spells,Spell,Binding,Conjuration,24,Mana,1.0,,single_enemy,False,True,,Conjurer,,False,,Send a fiend or fey away from this realm. Banished enemies grant no rewards.
Barrier Wall,BarrierWall,Spells,Spell,Construct,Conjuration,35,Mana,1.0,,single_enemy,False,True,,Conjurer,,False,,Conjure a wall that enemies must destroy before they can target the caster again.
Berserk,Berserk,Spells,Spell,Status,,15,Mana,1.0,,single_enemy,False,True,,Diviner; Priest,Behemoth; Giant Hornet; Harpy; Wendigo,False,,"Enrage the enemy, increasing damage but lowering accuracy and making them only attack."
Bless,Bless,Spells,Spell,Support,,12,Mana,1.0,,self,False,True,,Cleric; Healer; Hierophant; Paladin; Priest; Templar,Evil Crusader,False,,"A prayer is spoken, bestowing a mighty blessing upon the caster's weapon, increasing melee damage."
Blinding Fog,BlindingFog,Spells,Spell,Status,,7,Mana,1.0,,all_enemies,False,True,1,Mage; Pathfinder,Gargoyle; Pseudodragon,True,,"The enemy is surrounding in a thick fog, lowering the chance to hit on a melee attack."
Blizzard,IceBlizzard,Spells,Spell,Ice,Arcane,18,Mana,2.0,3,single_enemy,False,True,,Wizard,Lich,False,,"The enemy is encased in a blistering cold, penetrating into its bones."
Bolt,Bolt,Spells,Spell,Electric,Nature,18,Mana,1.45,5,single_enemy,False,True,,Archdruid,,False,,Call down a focused storm bolt of natural lightning.
Boost,Boost,Spells,Spell,Support,,22,Mana,1.0,,self,False,True,,Astromancer; Mage; Sorcerer; Spellblade,Aboleth; Cambion Acolyte; Disciple; Domingo; Lich; Merzhin,False,,"Supercharge the magic capabilities of the target, increasing magic damage."
Call Animal,CallAnimal,Spells,Spell,Calling,Nature,10,Mana,1.0,,none,False,True,,Pathfinder,,False,,Call a local animal companion to aid in combat for a time.
Calming Breeze,CalmingBreeze,Spells,Spell,Support,Nature,18,Mana,1.0,,single_enemy,False,True,,Druid,,False,,Conjure a gentle breeze that grants peaceful focus.
Cataclysm,Cataclysm,Spells,Spell,Non-elemental,,60,Mana,5.0,5,single_enemy,False,True,,,,False,,"The dragon of apocalypse unleashes everything at once — a barrage of high-tier spells, a devastating breath of fire, and a surge of draconic power."
